PortNumber,AccNumber,LocNumber,CountryCode,PostalCode,City,Latitude,Longitude,BuildingTIV,ContentsTIV,BITIV,LocDed,LocLimit,OccupancyCode,ConstructionCode
CAND-1,ACC-NEWCO-LOGISTICS,CAND001,DE,,Duisburg,51.43000,6.76000,16069251,9641551,5624238,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND002,DE,,Essen,51.46000,7.01000,18297862,10978717,6404252,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND003,DE,,Cologne,50.94000,6.96000,11880421,7128252,4158147,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND004,NL,,Venlo,51.37000,6.17000,12144754,7286853,4250664,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND005,NL,,Eindhoven,51.44000,5.48000,22154191,13292514,7753967,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND006,NL,,Rotterdam,51.92000,4.48000,15378109,9226866,5382338,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND007,BE,,Antwerp,51.22000,4.40000,17579681,10547809,6152888,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND008,BE,,Ghent,51.05000,3.72000,27597698,16558619,9659194,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND009,FR,,Lille,50.63000,3.06000,14540766,8724459,5089268,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND010,GB,,Dover,51.13000,1.31000,26902969,16141782,9416039,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND011,GB,,Felixstowe,51.96000,1.35000,18445591,11067354,6455957,25000,,3000,5200
CAND-1,ACC-NEWCO-LOGISTICS,CAND012,DE,,Hamburg,53.55000,10.00000,14377076,8626246,5031977,25000,,3000,5200
