PortNumber,AccNumber,LocNumber,CountryCode,PostalCode,City,Latitude,Longitude,BuildingTIV,ContentsTIV,BITIV,LocDed,LocLimit,OccupancyCode,ConstructionCode
DEMO-1,ACC1016,LOC00329,GB,B1154,Birmingham,52.39709,-1.89113,6439835,1465695,1316103,5000,,1200,5200
DEMO-1,ACC1006,LOC00042,DE,80839,Munich,48.22305,11.39133,6390513,2835432,518537,5000,,2100,5000
DEMO-1,ACC1001,LOC00404,DE,40638,Dusseldorf,51.26625,6.80604,17542055,5188653,2649056,1000,14033644,3000,5950
DEMO-1,ACC1010,LOC00099,BE,10238,Brussels,50.80710,4.36380,7213124,2523202,605161,1000,,1100,5100
DEMO-1,ACC1015,LOC00260,GB,EC733,London,51.58303,-0.21647,1329784,278916,328287,25000,,1200,5100
DEMO-1,ACC1012,LOC00072,FR,75464,Paris,48.89880,2.40735,2618217,532028,521125,25000,2094573,1050,5100
DEMO-1,ACC1004,LOC00337,DE,60236,Frankfurt,50.08410,8.58359,4839804,2037369,1149057,2500,,1100,5200
DEMO-1,ACC1000,LOC00254,DE,50157,Cologne,50.98242,7.21810,5057498,2032120,296676,5000,,2100,5200
DEMO-1,ACC1009,LOC00375,NL,35739,Utrecht,52.10133,5.28115,4579102,1570609,533889,10000,,1200,5200
DEMO-1,ACC1002,LOC00229,DE,44983,Dortmund,51.61608,7.36241,886311,290916,136216,5000,,1050,5200
DEMO-1,ACC1004,LOC00286,DE,60252,Frankfurt,50.01213,8.65821,14099014,2562402,4108704,25000,11279212,2100,5100
DEMO-1,ACC1015,LOC00044,GB,EC499,London,51.64901,-0.11951,916663,160454,186011,2500,,2100,5950
DEMO-1,ACC1004,LOC00011,DE,60400,Frankfurt,50.08136,8.71929,981178,355415,115086,25000,,1200,5100
DEMO-1,ACC1004,LOC00267,DE,60680,Frankfurt,49.97908,8.59916,1320379,231866,330209,10000,,2100,5100
DEMO-1,ACC1017,LOC00136,GB,M1384,Manchester,53.44567,-2.24332,1132916,206985,101690,5000,,1050,5200
DEMO-1,ACC1009,LOC00228,NL,35814,Utrecht,52.02724,5.06503,1376792,513970,194372,25000,,2100,5200
DEMO-1,ACC1014,LOC00446,FR,69564,Lyon,45.65578,4.80803,2034063,736685,486762,1000,1627251,3000,5200
DEMO-1,ACC1001,LOC00467,DE,40914,Dusseldorf,51.16802,6.90131,4148838,1491610,377501,10000,3319070,3000,5100
DEMO-1,ACC1002,LOC00346,DE,44404,Dortmund,51.59206,7.34657,646390,171490,188126,1000,,1200,5200
DEMO-1,ACC1002,LOC00078,DE,44833,Dortmund,51.55967,7.35208,10026299,3586002,1661149,25000,8021039,3000,5000
DEMO-1,ACC1003,LOC00440,DE,20464,Hamburg,53.60174,10.01304,4461818,1759987,418059,25000,,1050,5000
DEMO-1,ACC1007,LOC00203,NL,10653,Amsterdam,52.33615,4.88726,13281699,4590716,1908204,1000,,1100,5000
DEMO-1,ACC1012,LOC00400,FR,75391,Paris,48.80474,2.13505,1025731,162260,133072,10000,,1100,5200
DEMO-1,ACC1003,LOC00255,DE,20364,Hamburg,53.48229,10.01775,3084351,1153848,375230,10000,,1100,5200
DEMO-1,ACC1014,LOC00022,FR,69719,Lyon,45.80212,4.81208,2206514,569950,659792,1000,1765211,1200,5000
DEMO-1,ACC1012,LOC00095,FR,75686,Paris,48.83093,2.28849,380352,159322,65730,5000,304282,3000,5200
DEMO-1,ACC1018,LOC00062,ES,28878,Madrid,40.55554,-3.82686,792912,188915,77723,1000,,1100,5200
DEMO-1,ACC1007,LOC00155,NL,10114,Amsterdam,52.30089,5.04717,1234925,483187,293270,25000,,3000,5000
DEMO-1,ACC1004,LOC00197,DE,60316,Frankfurt,50.24312,8.78368,1503078,451761,136737,5000,1202462,1050,5200
DEMO-1,ACC1005,LOC00276,DE,10254,Berlin,52.53702,13.05628,693132,188083,164011,25000,554505,1200,5950
DEMO-1,ACC1018,LOC00414,ES,28934,Madrid,40.54071,-3.78558,8856943,1435745,2056197,1000,,3000,5000
DEMO-1,ACC1003,LOC00127,DE,20332,Hamburg,53.46201,9.73319,846611,330387,45643,25000,,1200,5100
DEMO-1,ACC1004,LOC00196,DE,60891,Frankfurt,50.18552,8.64331,645543,174439,160800,5000,,1200,5200
DEMO-1,ACC1015,LOC00140,GB,EC895,London,51.54465,-0.15354,13084756,3159938,2452541,1000,,1100,5950
DEMO-1,ACC1012,LOC00348,FR,75306,Paris,48.97488,2.41884,1435557,349032,169853,25000,1148446,1100,5000
DEMO-1,ACC1008,DIRTY005,NL,30308,Rotterdam,52.03697,4.53305,0,0,0,10000,8794003,3000,5200
DEMO-1,ACC1015,DIRTY010,GB,EC640,London,51.49085,-0.02900,7026759,2516489,1848276,-1,5621407,1050,5000
DEMO-1,ACC1015,LOC00201,GB,EC939,London,51.57014,-0.24064,5546902,2440899,1488514,25000,,1100,5200
DEMO-1,ACC1008,LOC00171,NL,30709,Rotterdam,51.87186,4.33577,3124085,1004508,469752,5000,,1100,5100
DEMO-1,ACC1015,LOC00488,GB,EC371,London,51.46099,-0.22449,13715839,2098145,2746494,2500,,3000,5000
DEMO-1,ACC1001,LOC00092,DE,40860,Dusseldorf,51.28722,6.91903,3444863,1197979,821805,1000,,3000,5100
DEMO-1,ACC1008,LOC00041,NL,30448,Rotterdam,52.05538,4.47630,2831842,614076,398729,25000,,3000,5200
DEMO-1,ACC1001,LOC00018,DE,40915,Dusseldorf,51.23621,6.60377,2755251,905761,497005,25000,,1050,5950
DEMO-1,ACC1012,LOC00296,FR,75611,Paris,48.72650,2.37733,3532610,1096807,569076,5000,,3000,5200
DEMO-1,ACC1015,LOC00153,GB,EC868,London,51.58972,0.15368,6631399,1394008,1161421,25000,,2100,5950
DEMO-1,ACC1007,LOC00363,NL,10708,Amsterdam,52.40023,5.03263,4485133,1369934,617247,25000,,3000,5200
DEMO-1,ACC1001,LOC00060,DE,40851,Dusseldorf,51.16201,6.72648,993066,276877,111197,2500,,1100,5200
DEMO-1,ACC1003,LOC00176,DE,20723,Hamburg,53.61028,10.20061,6607623,2727842,1409403,25000,,3000,5950
DEMO-1,ACC1003,LOC00075,DE,20697,Hamburg,53.43219,9.85702,3024037,909282,411466,1000,,3000,5950
DEMO-1,ACC1004,LOC00175,DE,60562,Frankfurt,50.12099,8.66477,2315801,746160,656846,5000,,3000,5950
DEMO-1,ACC1006,LOC00070,DE,80242,Munich,48.17540,11.57987,28517469,11317792,7179800,10000,,1050,5200
DEMO-1,ACC1015,LOC00406,GB,EC102,London,51.42198,-0.22558,1758107,592207,373353,25000,,1100,5950
DEMO-1,ACC1005,LOC00481,DE,10585,Berlin,52.67081,13.34679,747312,269276,100982,25000,,1200,5200
DEMO-1,ACC1000,LOC00178,DE,50486,Cologne,50.88849,6.76277,2923264,805246,612737,2500,2338611,1050,5200
DEMO-1,ACC1007,LOC00085,NL,10901,Amsterdam,52.45220,5.00173,476917,170812,82031,10000,,1200,5100
DEMO-1,ACC1015,LOC00345,GB,EC853,London,51.43737,0.10094,8838091,3789938,1326485,1000,7070473,1200,5000
DEMO-1,ACC1013,LOC00378,FR,59772,Lille,50.56664,3.12543,7526590,1157376,1297748,5000,,3000,5000
DEMO-1,ACC1008,LOC00231,NL,30610,Rotterdam,51.91569,4.49636,1885364,840103,424872,25000,1508291,2100,5200
DEMO-1,ACC1014,LOC00156,FR,69543,Lyon,45.83136,4.74649,6314224,1514013,726430,2500,,2100,5950
DEMO-1,ACC1014,LOC00311,FR,69783,Lyon,45.72666,5.00562,5539405,1632601,847917,5000,4431524,3000,5000
DEMO-1,ACC1010,LOC00065,BE,10277,Brussels,50.86419,4.46476,1354729,483345,83139,25000,,3000,5200
DEMO-1,ACC1015,LOC00032,GB,EC574,London,51.53711,-0.29774,1276771,204193,170143,5000,1021417,3000,5200
DEMO-1,ACC1014,LOC00477,FR,69770,Lyon,45.68324,4.93557,2732270,578158,527567,5000,,1100,5100
DEMO-1,ACC1002,LOC00121,DE,44688,Dortmund,51.63141,7.51334,1737518,344329,120670,25000,,1100,5100
DEMO-1,ACC1000,LOC00188,DE,50133,Cologne,50.89749,7.12206,2727309,731319,500727,10000,,3000,5200
DEMO-1,ACC1007,LOC00355,NL,10181,Amsterdam,52.37288,4.97893,7471194,1877684,1574150,25000,5976955,1050,5950
DEMO-1,ACC1007,LOC00463,NL,10655,Amsterdam,52.44893,4.98526,2901403,514469,193811,5000,,1200,5100
DEMO-1,ACC1002,LOC00158,DE,44520,Dortmund,51.46911,7.53703,1827903,285003,386035,25000,1462322,1100,5950
DEMO-1,ACC1011,LOC00248,BE,20274,Antwerp,51.18224,4.23395,927968,226844,252031,1000,,2100,5950
DEMO-1,ACC1010,LOC00472,BE,10387,Brussels,50.94688,4.43664,1890095,346019,97940,10000,,3000,5200
DEMO-1,ACC1007,DIRTY009,NL,10954,Amsterdam,52.26366,4.95052,661410,180906,115899,-50000,,2100,5100
DEMO-1,ACC1005,LOC00343,DE,10377,Berlin,52.70726,13.46885,1823620,576947,170521,10000,,1050,5200
DEMO-1,ACC1003,LOC00310,DE,20556,Hamburg,53.55731,9.99315,2983473,1070254,430177,1000,,1200,5000
DEMO-1,ACC1015,LOC00020,GB,EC339,London,51.50865,-0.04122,1356202,531043,379268,1000,,3000,5100
DEMO-1,ACC1007,LOC00157,NL,10292,Amsterdam,52.19622,5.02000,3263560,1125824,395679,25000,,2100,5000
DEMO-1,ACC1005,LOC00320,DE,10386,Berlin,52.43315,13.52722,7497400,2790421,1874550,25000,,1050,5200
DEMO-1,ACC1010,LOC00145,BE,10101,Brussels,50.88632,4.20602,4400203,1394830,838787,25000,,1050,5100
DEMO-1,ACC1008,LOC00159,NL,30694,Rotterdam,52.00291,4.44155,3599160,1039086,480813,2500,,2100,5100
DEMO-1,ACC1001,LOC00377,DE,40181,Dusseldorf,51.26206,6.79958,9073299,2834521,2305299,5000,,3000,5200
DEMO-1,ACC1000,LOC00422,DE,50470,Cologne,50.84287,6.78652,3527618,723741,328123,25000,,2100,5000
DEMO-1,ACC1009,LOC00432,NL,35724,Utrecht,52.04175,5.17172,884948,133765,190306,1000,707958,3000,5950
DEMO-1,ACC1000,LOC00150,DE,50161,Cologne,50.93916,7.10959,4885294,1566817,312926,2500,,3000,5100
DEMO-1,ACC1007,LOC00232,NL,10468,Amsterdam,52.36249,4.82596,730496,160628,73747,1000,584397,1050,5100
DEMO-1,ACC1003,LOC00161,DE,20504,Hamburg,53.67831,10.15480,1326970,552935,75295,1000,,3000,5950
DEMO-1,ACC1012,LOC00434,FR,75593,Paris,48.87995,2.32021,1130888,259433,257512,5000,,3000,5000
DEMO-1,ACC1008,LOC00114,NL,30296,Rotterdam,51.82984,4.45805,1593130,482592,327513,5000,,1100,5200
DEMO-1,ACC1002,LOC00052,DE,44505,Dortmund,51.49075,7.56407,2324021,606579,238021,5000,,3000,5100
DEMO-1,ACC1001,LOC00172,DE,40683,Dusseldorf,51.14809,6.76051,9273416,2455180,994032,5000,,2100,5100
DEMO-1,ACC1007,LOC00027,NL,10119,Amsterdam,52.37962,4.77088,2350833,880092,146046,5000,1880667,1200,5000
DEMO-1,ACC1006,LOC00074,DE,80583,Munich,48.13974,11.52397,2676382,834532,512260,2500,2141105,1050,5950
DEMO-1,ACC1012,LOC00444,FR,75910,Paris,48.74846,2.19728,571463,172620,59746,2500,,1100,5000
DEMO-1,ACC1003,LOC00241,DE,20672,Hamburg,53.45302,10.21734,1202229,320197,320563,10000,,1200,5100
DEMO-1,ACC1012,LOC00339,FR,75410,Paris,48.82244,2.55047,2811192,525703,217388,1000,,1200,5200
